Month,LV ActivePower
1,5050493.8997213235
2,6061527.4419922745
3,8713586.934177801
4,3548863.785300813
5,3723554.9424093086
6,4225856.646710033
7,2129391.827731573
8,8753485.419343268
9,5717938.55462572
10,5749986.324201826
11,7169436.699421369
12,5233166.814226255
